id,anio,mes,balance,tipo,energia_mwh,fecha_proceso,lote_id_log,indice_tiempo
6371,2018,08,OFERTA,Térmica,7725729.305,2020-05-05 11:07:24.323786,67,2018-08
6372,2018,09,OFERTA,Hidráulica,2769472.612,2020-05-05 11:07:24.323786,67,2018-09
6373,2018,09,OFERTA,Importacion,21006.61,2020-05-05 11:07:24.323786,67,2018-09
6374,2018,09,OFERTA,Nuclear,311970.4,2020-05-05 11:07:24.323786,67,2018-09
6375,2018,09,OFERTA,Renovable,323204.93,2020-05-05 11:07:24.323786,67,2018-09
6376,2018,09,OFERTA,Térmica,6840990.931,2020-05-05 11:07:24.323786,67,2018-09
6377,2018,10,OFERTA,Hidráulica,3456354.298,2020-05-05 11:07:24.323786,67,2018-10
6378,2018,10,OFERTA,Importacion,24815.047,2020-05-05 11:07:24.323786,67,2018-10
6379,2018,10,OFERTA,Nuclear,395773.383,2020-05-05 11:07:24.323786,67,2018-10
6380,2018,10,OFERTA,Renovable,379275.93,2020-05-05 11:07:24.323786,67,2018-10
6381,2018,10,OFERTA,Térmica,6137657.725,2020-05-05 11:07:24.323786,67,2018-10
6382,2018,11,OFERTA,Hidráulica,3891066.662,2020-05-05 11:07:24.323786,67,2018-11
6383,2018,11,OFERTA,Importacion,30330.112,2020-05-05 11:07:24.323786,67,2018-11
6384,2018,11,OFERTA,Nuclear,376479.343,2020-05-05 11:07:24.323786,67,2018-11
6385,2018,11,OFERTA,Renovable,428462.981,2020-05-05 11:07:24.323786,67,2018-11
6386,2018,11,OFERTA,Térmica,5692280.537,2020-05-05 11:07:24.323786,67,2018-11
6387,2018,12,OFERTA,Hidráulica,3768807.413,2020-05-05 11:07:24.323786,67,2018-12
6388,2018,12,OFERTA,Importacion,191303.454,2020-05-05 11:07:24.323786,67,2018-12
6389,2018,12,OFERTA,Nuclear,212640.435,2020-05-05 11:07:24.323786,67,2018-12
6390,2018,12,OFERTA,Renovable,488501.011,2020-05-05 11:07:24.323786,67,2018-12
6391,2018,12,OFERTA,Térmica,6609320.402,2020-05-05 11:07:24.323786,67,2018-12
6392,2019,01,OFERTA,Hidráulica,3453674.451,2020-05-05 11:07:24.323786,67,2019-01
6393,2019,01,OFERTA,Importacion,407463.262,2020-05-05 11:07:24.323786,67,2019-01
6394,2019,01,OFERTA,Nuclear,200411.82,2020-05-05 11:07:24.323786,67,2019-01
6395,2019,01,OFERTA,Renovable,514543.722,2020-05-05 11:07:24.323786,67,2019-01
6396,2019,01,OFERTA,Térmica,7559401.012,2020-05-05 11:07:24.323786,67,2019-01
6397,2019,02,OFERTA,Hidráulica,2587399.714,2020-05-05 11:07:24.323786,67,2019-02
6398,2019,02,OFERTA,Importacion,120592.489,2020-05-05 11:07:24.323786,67,2019-02
6399,2019,02,OFERTA,Nuclear,300502.344,2020-05-05 11:07:24.323786,67,2019-02
6400,2019,02,OFERTA,Renovable,437826.312,2020-05-05 11:07:24.323786,67,2019-02
6401,2019,02,OFERTA,Térmica,7645372.917,2020-05-05 11:07:24.323786,67,2019-02
6402,2019,03,OFERTA,Hidráulica,2948310.259,2020-05-05 11:07:24.323786,67,2019-03
6403,2019,03,OFERTA,Importacion,246818.102,2020-05-05 11:07:24.323786,67,2019-03
6404,2019,03,OFERTA,Nuclear,527391.847,2020-05-05 11:07:24.323786,67,2019-03
6405,2019,03,OFERTA,Renovable,520250.557,2020-05-05 11:07:24.323786,67,2019-03
6406,2019,03,OFERTA,Térmica,6231234.3,2020-05-05 11:07:24.323786,67,2019-03
6407,2019,04,OFERTA,Hidráulica,2721878.364,2020-05-05 11:07:24.323786,67,2019-04
6408,2019,04,OFERTA,Importacion,151667.766,2020-05-05 11:07:24.323786,67,2019-04
6409,2019,04,OFERTA,Nuclear,640078.793,2020-05-05 11:07:24.323786,67,2019-04
6410,2019,04,OFERTA,Renovable,554326.352,2020-05-05 11:07:24.323786,67,2019-04
6411,2019,04,OFERTA,Térmica,5824982.629,2020-05-05 11:07:24.323786,67,2019-04
6412,2019,05,OFERTA,Hidráulica,3020998.66,2020-05-05 11:07:24.323786,67,2019-05
6413,2019,05,OFERTA,Importacion,332804.88,2020-05-05 11:07:24.323786,67,2019-05
6414,2019,05,OFERTA,Nuclear,836712.485,2020-05-05 11:07:24.323786,67,2019-05
6415,2019,05,OFERTA,Renovable,521093.899,2020-05-05 11:07:24.323786,67,2019-05
6416,2019,05,OFERTA,Térmica,6067333.26,2020-05-05 11:07:24.323786,67,2019-05
6417,2019,06,OFERTA,Hidráulica,2891031.473,2020-05-05 11:07:24.323786,67,2019-06
6418,2019,06,OFERTA,Importacion,225664.321,2020-05-05 11:07:24.323786,67,2019-06
6419,2019,06,OFERTA,Nuclear,742116.706,2020-05-05 11:07:24.323786,67,2019-06
6420,2019,06,OFERTA,Renovable,590050.227,2020-05-05 11:07:24.323786,67,2019-06
6421,2019,06,OFERTA,Térmica,6624751.266,2020-05-05 11:07:24.323786,67,2019-06
6422,2019,07,OFERTA,Hidráulica,3103128.039,2020-05-05 11:07:24.323786,67,2019-07
6423,2019,07,OFERTA,Importacion,120154.333,2020-05-05 11:07:24.323786,67,2019-07
6424,2019,07,OFERTA,Nuclear,736655.677,2020-05-05 11:07:24.323786,67,2019-07
6425,2019,07,OFERTA,Renovable,611310.669,2020-05-05 11:07:24.323786,67,2019-07
6426,2019,07,OFERTA,Térmica,7873291.365,2020-05-05 11:07:24.323786,67,2019-07
6427,2019,08,OFERTA,Hidráulica,3221215.181,2020-05-05 11:07:24.323786,67,2019-08
6428,2019,08,OFERTA,Importacion,350301.422,2020-05-05 11:07:24.323786,67,2019-08
6429,2019,08,OFERTA,Nuclear,865729.443,2020-05-05 11:07:24.323786,67,2019-08
6430,2019,08,OFERTA,Renovable,678247.331,2020-05-05 11:07:24.323786,67,2019-08
6431,2019,08,OFERTA,Térmica,6818697.266,2020-05-05 11:07:24.323786,67,2019-08
6432,2019,09,OFERTA,Hidráulica,2899660.731,2020-05-05 11:07:24.323786,67,2019-09
6433,2019,09,OFERTA,Importacion,69857.276,2020-05-05 11:07:24.323786,67,2019-09
6434,2019,09,OFERTA,Nuclear,873875.355,2020-05-05 11:07:24.323786,67,2019-09
6435,2019,09,OFERTA,Renovable,809304.532,2020-05-05 11:07:24.323786,67,2019-09
6436,2019,09,OFERTA,Térmica,6039530.335,2020-05-05 11:07:24.323786,67,2019-09
6437,2019,10,OFERTA,Hidráulica,2736574.017,2020-05-05 11:07:24.323786,67,2019-10
6438,2019,10,OFERTA,Importacion,260683.924,2020-05-05 11:07:24.323786,67,2019-10
6439,2019,10,OFERTA,Nuclear,712387.25,2020-05-05 11:07:24.323786,67,2019-10
6440,2019,10,OFERTA,Renovable,805099.122,2020-05-05 11:07:24.323786,67,2019-10
6441,2019,10,OFERTA,Térmica,6339045.242,2020-05-05 11:07:24.323786,67,2019-10
6442,2019,11,OFERTA,Hidráulica,2874807.468,2020-05-05 11:07:24.323786,67,2019-11
6443,2019,11,OFERTA,Importacion,366813.054,2020-05-05 11:07:24.323786,67,2019-11
6444,2019,11,OFERTA,Nuclear,761162.71,2020-05-05 11:07:24.323786,67,2019-11
6445,2019,11,OFERTA,Renovable,857876.977,2020-05-05 11:07:24.323786,67,2019-11
6446,2019,11,OFERTA,Térmica,6147451.967,2020-05-05 11:07:24.323786,67,2019-11
6447,2019,12,OFERTA,Hidráulica,2911479.269,2020-05-05 11:07:24.323786,67,2019-12
6448,2019,12,OFERTA,Importacion,93519.4,2020-05-05 11:07:24.323786,67,2019-12
6449,2019,12,OFERTA,Nuclear,730053.033,2020-05-05 11:07:24.323786,67,2019-12
6450,2019,12,OFERTA,Renovable,912208.049,2020-05-05 11:07:24.323786,67,2019-12
6451,2019,12,OFERTA,Térmica,6965598.94,2020-05-05 11:07:24.323786,67,2019-12
6452,2020,01,OFERTA,Hidráulica,3023859.741,2020-05-05 11:07:24.323786,67,2020-01
6453,2020,01,OFERTA,Importacion,26785.618,2020-05-05 11:07:24.323786,67,2020-01
6454,2020,01,OFERTA,Nuclear,791100.811,2020-05-05 11:07:24.323786,67,2020-01
6455,2020,01,OFERTA,Renovable,957825.883,2020-05-05 11:07:24.323786,67,2020-01
6456,2020,01,OFERTA,Térmica,7659783.65,2020-05-05 11:07:24.323786,67,2020-01
6457,2020,02,OFERTA,Hidráulica,2524292.913,2020-05-05 11:07:24.323786,67,2020-02
6458,2020,02,OFERTA,Importacion,37661.13,2020-05-05 11:07:24.323786,67,2020-02
6459,2020,02,OFERTA,Nuclear,804840.038,2020-05-05 11:07:24.323786,67,2020-02
6460,2020,02,OFERTA,Renovable,885661.738,2020-05-05 11:07:24.323786,67,2020-02
6461,2020,02,OFERTA,Térmica,6981486.126,2020-05-05 11:07:24.323786,67,2020-02
6462,2017,01,DEMANDA,Gran Usuario,1993571.165,2020-05-05 11:07:24.323786,67,2017-01
6463,2017,01,DEMANDA,Distribuidor,10531294.481,2020-05-05 11:07:24.323786,67,2017-01
6464,2017,01,DEMANDA,Bombeo,34531.584,2020-05-05 11:07:24.323786,67,2017-01
6465,2017,01,DEMANDA,Exportacion,71.046,2020-05-05 11:07:24.323786,67,2017-01
6466,2017,01,DEMANDA,Perdidas,373876.475,2020-05-05 11:07:24.323786,67,2017-01
6467,2017,02,DEMANDA,Gran Usuario,1904848.921,2020-05-05 11:07:24.323786,67,2017-02
6468,2017,02,DEMANDA,Distribuidor,9170057.578,2020-05-05 11:07:24.323786,67,2017-02
